prolific_id,urn,vaccination,education,manipulation_check,condition,time_taken,age,gender,age_cat,comprehension,urn_error,vacc_error
5fc541c8ea15be02e38f66d0,60,16,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,72.441,29,Female,25-34,1,10,2.0826176915911567
5e3d2ab94aebac111b5f6cd2,50,12,"Undergraduate degree (e.g., BA)",NA,no_res,132.518,58,Male,55-64,1,20,1.9173823084088433
5d53346807e8740015e561ed,70,12,GCSE (or equivalent),NA,no_res,96.621,49,Male,45-54,1,0,1.9173823084088433
58474642db871400012d9ed5,70,12,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,1297.561,25,Female,25-34,1,0,1.9173823084088433
5f69c3324f3cad02a9ac8cec,70,15,"Undergraduate degree (e.g., BA)",NA,no_res,116.297,21,Female,18-24,1,0,1.0826176915911567
5c362f46aa03c3000163e2d9,70,24,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,161.719,45,Female,45-54,1,0,10.082617691591157
59922fa30675b100014daed4,70,10,A-level (or equivalent),NA,no_res,113.07,51,Female,45-54,1,0,3.9173823084088433
5efa10698dd7fe7f39bf1be9,70,8,A-level (or equivalent),NA,no_res,154.807,31,Male,25-34,1,0,5.917382308408843
5c8d54044597c00001459b8a,70,15,"Undergraduate degree (e.g., BA)",NA,no_res,87.586,23,Female,18-24,1,0,1.0826176915911567
5e0e4134a7fba658cf984018,70,11,"Undergraduate degree (e.g., BA)",NA,no_res,273.768,58,Male,55-64,1,0,2.9173823084088433
5db306ae679c65000bb4bb9a,70,25,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,89.963,32,Male,25-34,1,0,11.082617691591157
5f7deaf807753f02f9cc2b2a,70,11,A-level (or equivalent),NA,no_res,127.891,21,Female,18-24,1,0,2.9173823084088433
5f3469ea5b08c23936eedd26,70,10,"Undergraduate degree (e.g., BA)",NA,no_res,73.038,24,Male,18-24,1,0,3.9173823084088433
5d3855aa043f00000130a135,40,30,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,170.62,32,Male,25-34,1,30,16.082617691591157
5e57b60b2019d515eeadf114,70,15,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,118.63,28,Female,25-34,1,0,1.0826176915911567
5e53df2d8b62b33daf126ecd,70,15,"Undergraduate degree (e.g., BA)",NA,no_res,275.925,46,Female,45-54,1,0,1.0826176915911567
599da21f872eec00019569ff,70,10,GCSE (or equivalent),NA,no_res,155.571,29,Male,25-34,1,0,3.9173823084088433
5953acc10dd7710001aec19e,70,11,A-level (or equivalent),NA,no_res,82.804,60,Female,55-64,1,0,2.9173823084088433
5f0325cf3ea8444cf6d890e6,69,13,"Undergraduate degree (e.g., BA)",NA,no_res,132.325,37,Female,35-44,1,1,0.9173823084088433
5b5646c0ec85c10001acd553,70,10,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,101.528,24,Male,18-24,1,0,3.9173823084088433
5ede3fcf6b821907836e01fc,70,11,A-level (or equivalent),NA,no_res,84.098,19,Male,18-24,1,0,2.9173823084088433
5adde94be2ceee00010fcb4d,70,8,"Undergraduate degree (e.g., BA)",NA,no_res,122.845,21,Female,18-24,1,0,5.917382308408843
5ebfe770e953a3025334ed49,50,47,"Undergraduate degree (e.g., BA)",NA,no_res,193.179,26,Female,25-34,1,20,33.08261769159115
5c16ba53d47b0000014a912b,70,20,A-level (or equivalent),NA,no_res,190.138,53,Female,45-54,1,0,6.082617691591157
5f60f7e491b0ea02c1bd3ae9,70,12,"Undergraduate degree (e.g., BA)",NA,no_res,137.296,21,Male,18-24,1,0,1.9173823084088433
5a397e25ae52e600010a012a,70,10,"Undergraduate degree (e.g., BA)",NA,no_res,97.228,29,Female,25-34,1,0,3.9173823084088433
5d94f81f78648a0018f9c3ed,60,14,A-level (or equivalent),NA,no_res,146.055,33,Male,25-34,1,10,0.08261769159115673
5ec107c5a81ee01731ccaebf,70,15,"Undergraduate degree (e.g., BA)",NA,no_res,283.717,31,Male,25-34,1,0,1.0826176915911567
5ef14e0631f6fe74a9706844,70,21,A-level (or equivalent),NA,no_res,615.427,20,Female,18-24,1,0,7.082617691591157
5ea03395e54666051d8e9cee,70,12,GCSE (or equivalent),NA,no_res,254.805,66,Male,65 and over,1,0,1.9173823084088433
5c8bd4350b5cf400012fad73,70,12,"Undergraduate degree (e.g., BA)",NA,no_res,81.098,47,Female,45-54,1,0,1.9173823084088433
5fedc8c5bf9ae40339ec856c,70,13,"Undergraduate degree (e.g., BA)",NA,no_res,440.685,22,Female,18-24,1,0,0.9173823084088433
5dd55237ed7ea44e8d4e0398,50,9,"Undergraduate degree (e.g., BA)",NA,no_res,130.739,36,Female,35-44,1,20,4.917382308408843
5f16c8432fb34d01ce749266,70,16,"Undergraduate degree (e.g., BA)",NA,no_res,77.01,35,Female,35-44,1,0,2.0826176915911567
5bc2d0d1b17a810001daeba1,70,8,"Undergraduate degree (e.g., BA)",NA,no_res,82.954,37,Female,35-44,1,0,5.917382308408843
5fee0c6f559f430d9827efa5,70,14,"Undergraduate degree (e.g., BA)",NA,no_res,20639986.807354,21,Male,18-24,1,0,0.08261769159115673
57e251cea0e8ce0001544afb,70,21,"Undergraduate degree (e.g., BA)",NA,no_res,96.591,31,Male,25-34,1,0,7.082617691591157
5b5315d7303c33000165a984,70,10,"Undergraduate degree (e.g., BA)",NA,no_res,148.72,38,Male,35-44,1,0,3.9173823084088433
595689d2036feb000199ae5b,70,20,"Undergraduate degree (e.g., BA)",NA,no_res,90.959,35,Female,35-44,1,0,6.082617691591157
5ef20e5fa9ac1301228a263a,75,12,GCSE (or equivalent),NA,no_res,162.096,52,Female,45-54,1,5,1.9173823084088433
5ff19233cd5d980f882c685f,70,16,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,124.332,31,Female,25-34,1,0,2.0826176915911567
5f4633b8a6e20126eb4cdcc2,70,12,"Undergraduate degree (e.g., BA)",NA,no_res,278.014,32,Female,25-34,1,0,1.9173823084088433
5e9f771561b68c0e1c57ec15,70,11,"Undergraduate degree (e.g., BA)",NA,no_res,88.965,26,Female,25-34,1,0,2.9173823084088433
5ffc73253ca0be04c719ff76,70,10,A-level (or equivalent),NA,no_res,140.721,41,Female,35-44,1,0,3.9173823084088433
5fa3d48d2157a50008b3171b,70,16,"Undergraduate degree (e.g., BA)",NA,no_res,266.442,22,Female,18-24,1,0,2.0826176915911567
5e7a8697b2a369000adb0e14,70,8,A-level (or equivalent),NA,no_res,75.9,19,Male,18-24,1,0,5.917382308408843
5e95f6da048d680666443d78,75,12,"Undergraduate degree (e.g., BA)",NA,no_res,148.172,52,Female,45-54,1,5,1.9173823084088433
5ffc1e3a5a63f814db16ff29,70,11,"Undergraduate degree (e.g., BA)",NA,no_res,165.667,30,Male,25-34,1,0,2.9173823084088433
5feaeb826079e1ad64f691f6,64,15,"Undergraduate degree (e.g., BA)",NA,no_res,209.925,57,Female,55-64,1,6,1.0826176915911567
5c9505af51f50e0016cbc42b,70,15,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,261.529,54,Male,45-54,1,0,1.0826176915911567
